id,path,score,ref_text,hyp_text,audio_array,sampling_rate,status,verification_status,model_used,norm_ref,norm_hyp,model_results
11,d2e948c2c5e2948.mp3,100.0,"Пры рэкламацыях яна настойвала: але, панове, падумайце толькі,",пры рэкламацыях яна настойвала але панове падумайце толькі,[0.         0.         0.         ... 0.02027906 0.04381988 0.03913409],44100,processed,correct,gemini-2.5-flash-lite,пры рэкламацыях яна настойвала але панове падумайце толькі,пры рэкламацыях яна настойвала але панове падумайце толькі,"{'imported_csv': {'hyp_text': 'пры рэкламацыях яна настойвала але па-новаму падумайце толькі', 'score': 96.61016949152543, 'norm_ref': 'пры рэкламацыях яна настойвала але панове падумайце толькі', 'norm_hyp': 'пры рэкламацыях яна настойвала але пановаму падумайце толькі'}, 'gemini-2.5-flash-lite': {'hyp_text': 'пры рэкламацыях яна настойвала але панове падумайце толькі', 'score': 100.0, 'norm_ref': 'пры рэкламацыях яна настойвала але панове падумайце толькі', 'norm_hyp': 'пры рэкламацыях яна настойвала але панове падумайце толькі'}}"
12,0147516588f1007.mp3,100.0,"Яна хваліла свежае паветра і шырокія далягляды, і за гэта брала больш высокую плату.",Яна хваліла свежае паветра і шырокія далягляды і за гэта брала больш высокую плату.,"[ 0.          0.          0.         ... -0.0002315  -0.0003514
 -0.00034449]",44100,processed,correct,imported_csv,яна хваліла свежае паветра і шырокія далягляды і за гэта брала больш высокую плату,яна хваліла свежае паветра і шырокія далягляды і за гэта брала больш высокую плату,"{'imported_csv': {'hyp_text': 'Яна хваліла свежае паветра і шырокія далягляды і за гэта брала больш высокую плату.', 'score': 100.0, 'norm_ref': 'яна хваліла свежае паветра і шырокія далягляды і за гэта брала больш высокую плату', 'norm_hyp': 'яна хваліла свежае паветра і шырокія далягляды і за гэта брала больш высокую плату'}}"
13,e79b288084439de.mp3,100.0,Я апранаўся вельмі павольна. Гэта надавала мне адчуванне нядзелі.,Я апранаўся вельмі павольна. Гэта надавала мне адчуванне нядзелі.,"[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -1.0552807e-04
 -8.5522639e-05 -6.4627086e-05]",44100,processed,correct,imported_csv,я апранаўся вельмі павольна гэта надавала мне адчуванне нядзелі,я апранаўся вельмі павольна гэта надавала мне адчуванне нядзелі,"{'imported_csv': {'hyp_text': 'Я апранаўся вельмі павольна. Гэта надавала мне адчуванне нядзелі.', 'score': 100.0, 'norm_ref': 'я апранаўся вельмі павольна гэта надавала мне адчуванне нядзелі', 'norm_hyp': 'я апранаўся вельмі павольна гэта надавала мне адчуванне нядзелі'}}"
14,9402342051b577e.mp3,100.0,"Я ўмыўся, пахадзіў па пакоі, пачытаў газету, згатаваў каву,","Я ўмыўся, пахадзіў па пакоі, пачытаў газету, згатаваў каву.","[ 0.          0.          0.         ... -0.0012752  -0.00131798
 -0.00093882]",44100,processed,correct,gemini-2.5-flash-lite,я ўмыўся пахадзіў па пакоі пачытаў газету згатаваў каву,я ўмыўся пахадзіў па пакоі пачытаў газету згатаваў каву,"{'imported_csv': {'hyp_text': 'І ўмыўся, пахадзіў па пакоі, пачытаў газету, згатаваў каву.', 'score': 98.18181818181819, 'norm_ref': 'я ўмыўся пахадзіў па пакоі пачытаў газету згатаваў каву', 'norm_hyp': 'і ўмыўся пахадзіў па пакоі пачытаў газету згатаваў каву'}, 'gemini-2.5-flash-lite': {'hyp_text': 'Я ўмыўся, пахадзіў па пакоі, пачытаў газету, згатаваў каву.', 'score': 100.0, 'norm_ref': 'я ўмыўся пахадзіў па пакоі пачытаў газету згатаваў каву', 'norm_hyp': 'я ўмыўся пахадзіў па пакоі пачытаў газету згатаваў каву'}}"
15,c33bdaf8a92f245.mp3,100.0,Паслухаў спеў птушак у высокіх дрэвах на могілках.,паслухаў спеў птушак у высокіх дрэвах на могілках,[0.         0.         0.         ... 0.00070618 0.00064999 0.00045119],44100,processed,correct,gemini-2.5-flash-lite,паслухаў спеў птушак у высокіх дрэвах на могілках,паслухаў спеў птушак у высокіх дрэвах на могілках,"{'imported_csv': {'hyp_text': 'Паслухаўшы спеў птушак у высокіх дрэвах на могілках,', 'score': 98.0, 'norm_ref': 'паслухаў спеў птушак у высокіх дрэвах на могілках', 'norm_hyp': 'паслухаўшы спеў птушак у высокіх дрэвах на могілках'}, 'gemini-2.5-flash-lite': {'hyp_text': 'паслухаў спеў птушак у высокіх дрэвах на могілках', 'score': 100.0, 'norm_ref': 'паслухаў спеў птушак у высокіх дрэвах на могілках', 'norm_hyp': 'паслухаў спеў птушак у высокіх дрэвах на могілках'}}"
16,47684608462fba3.mp3,100.0,"Яны спявалі, як маленькія срэбныя флейты святога Бога,","Яны спявалі, як маленькія срэбныя флейты святога бога.",[0.         0.         0.         ... 0.00390994 0.00466306 0.00393721],44100,processed,correct,imported_csv,яны спявалі як маленькія срэбныя флейты святога бога,яны спявалі як маленькія срэбныя флейты святога бога,"{'imported_csv': {'hyp_text': 'Яны спявалі, як маленькія срэбныя флейты святога бога.', 'score': 100.0, 'norm_ref': 'яны спявалі як маленькія срэбныя флейты святога бога', 'norm_hyp': 'яны спявалі як маленькія срэбныя флейты святога бога'}}"
17,affe2f26986bd76.mp3,100.0,Я выбіраў сарочку і шкарпэткі.,я выбіраў сарочку і шкарпэткі,[0.         0.         0.         ... 0.02858744 0.03125734 0.02552504],44100,processed,correct,imported_csv,я выбіраў сарочку і шкарпэткі,я выбіраў сарочку і шкарпэткі,"{'imported_csv': {'hyp_text': 'я выбіраў сарочку і шкарпэткі', 'score': 100.0, 'norm_ref': 'я выбіраў сарочку і шкарпэткі', 'norm_hyp': 'я выбіраў сарочку і шкарпэткі'}}"
18,1c0537f131c2eef.mp3,100.0,"Хоць выбіраць асабліва не было з чаго, з некалькіх сарочак і пар шкарпэтак я выбіраў так, быццам іх было ў дваццаць разоў больш.","Хоць выбіраць асабліва не было з чаго: з некалькіх сарочак і пар шкарпэтак я выбіраў так, быццам іх было ў дваццаць разоў больш.","[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ... -9.1895614e-05
  4.1329025e-05  1.3063056e-04]",44100,processed,correct,imported_csv,хоць выбіраць асабліва не было з чаго з некалькіх сарочак і пар шкарпэтак я выбіраў так быццам іх было ў дваццаць разоў больш,хоць выбіраць асабліва не было з чаго з некалькіх сарочак і пар шкарпэтак я выбіраў так быццам іх было ў дваццаць разоў больш,"{'imported_csv': {'hyp_text': 'Хоць выбіраць асабліва не было з чаго: з некалькіх сарочак і пар шкарпэтак я выбіраў так, быццам іх было ў дваццаць разоў больш.', 'score': 100.0, 'norm_ref': 'хоць выбіраць асабліва не было з чаго з некалькіх сарочак і пар шкарпэтак я выбіраў так быццам іх было ў дваццаць разоў больш', 'norm_hyp': 'хоць выбіраць асабліва не было з чаго з некалькіх сарочак і пар шкарпэтак я выбіраў так быццам іх было ў дваццаць разоў больш'}}"
19,2daa4bea6f018cf.mp3,100.0,"Насвістваючы, я павыкідваў усё з кішэняў: дробязь, нож, ключы,","Насвістваючы я павыкідваў усё з кішэняў. Дробязь, нож, ключы.","[ 0.          0.          0.         ... -0.00867219 -0.00995501
 -0.00834761]",44100,processed,correct,gemini-2.5-flash-lite,насвістваючы я павыкідваў усё з кішэняў дробязь нож ключы,насвістваючы я павыкідваў усё з кішэняў дробязь нож ключы,"{'imported_csv': {'hyp_text': 'Насвістваючы я павыкідваў усё з кішэні дробязь нож ключы', 'score': 97.34513274336283, 'norm_ref': 'насвістваючы я павыкідваў усё з кішэняў дробязь нож ключы', 'norm_hyp': 'насвістваючы я павыкідваў усё з кішэні дробязь нож ключы'}, 'gemini-2.5-flash-lite': {'hyp_text': 'Насвістваючы я павыкідваў усё з кішэняў. Дробязь, нож, ключы.', 'score': 100.0, 'norm_ref': 'насвістваючы я павыкідваў усё з кішэняў дробязь нож ключы', 'norm_hyp': 'насвістваючы я павыкідваў усё з кішэняў дробязь нож ключы'}}"
20,174ad4e97820e62.mp3,100.0,учорашняя паперка з імем дзяўчыны і нумарам тэлефона.,Учорашняя паперка з імем дзяўчыны і нумарам тэлефона,"[ 0.          0.          0.         ... -0.00402298 -0.00570183
 -0.00449566]",44100,processed,correct,imported_csv,учорашняя паперка з імем дзяўчыны і нумарам тэлефона,учорашняя паперка з імем дзяўчыны і нумарам тэлефона,"{'imported_csv': {'hyp_text': 'Учорашняя паперка з імем дзяўчыны і нумарам тэлефона', 'score': 100.0, 'norm_ref': 'учорашняя паперка з імем дзяўчыны і нумарам тэлефона', 'norm_hyp': 'учорашняя паперка з імем дзяўчыны і нумарам тэлефона'}}"
21,a4831391247c265.mp3,96.1038961038961,Патрыцыя Хольман. Дзіўнае імя. Патрыцыя.,Патрыцыя Хольман... хм... дзіўнае імя... Патрыцыя...,"[ 0.          0.          0.         ... -0.00069984 -0.00068694
 -0.00049003]",44100,processed,incorrect,batch_gemini-2.5-pro,патрыцыя хольман дзіўнае імя патрыцыя,патрыцыя хольман хм дзіўнае імя патрыцыя,"{'imported_csv': {'hyp_text': 'Патрыцыя Холман?  Гм... Дзіўнае імя, Патрыцыя!', 'score': 94.73684210526316, 'norm_ref': 'патрыцыя хольман дзіўнае імя патрыцыя', 'norm_hyp': 'патрыцыя холман гм дзіўнае імя патрыцыя'}, 'gemini-2.5-flash-lite': {'hyp_text': 'Патрыцыя Хольман. Гм. Дзіўнае імя. Патрыцыя.', 'score': 96.1038961038961, 'norm_ref': 'патрыцыя хольман дзіўнае імя патрыцыя', 'norm_hyp': 'патрыцыя хольман гм дзіўнае імя патрыцыя'}, 'gemini-2.5-flash': {'hyp_text': 'Патрыцыя Хольман. Хм. Дзіўнае імя Патрыцыя.', 'score': 96.1038961038961, 'norm_ref': 'патрыцыя хольман дзіўнае імя патрыцыя', 'norm_hyp': 'патрыцыя хольман хм дзіўнае імя патрыцыя'}, 'gemini-3-flash-preview': {'hyp_text': 'Патрыцыя Холман... Хм... Дзіўнае імя Патрыцыя.', 'score': 94.73684210526316, 'norm_ref': 'патрыцыя хольман дзіўнае імя патрыцыя', 'norm_hyp': 'патрыцыя холман хм дзіўнае імя патрыцыя'}, 'gemini-2.5-pro': {'hyp_text': 'Патрыцыя Хольман... хм... дзіўнае імя... Патрыцыя...', 'score': 96.1038961038961, 'norm_ref': 'патрыцыя хольман дзіўнае імя патрыцыя', 'norm_hyp': 'патрыцыя хольман хм дзіўнае імя патрыцыя'}}"
22,c65fe032f9c41ee.mp3,100.0,Я паклаў паперку на стол. Няўжо гэта сапраўды было ўчора?,Я паклаў паперку на стол. Няўжо гэта сапраўды было ўчора?,[0.         0.         0.         ... 0.02143781 0.02589381 0.02279745],44100,processed,correct,gemini-2.5-flash-lite,я паклаў паперку на стол няўжо гэта сапраўды было ўчора,я паклаў паперку на стол няўжо гэта сапраўды было ўчора,"{'imported_csv': {'hyp_text': 'Я паклаў паперку на стол. Няўжо гэта сапраўды было ў чорта?', 'score': 98.21428571428571, 'norm_ref': 'я паклаў паперку на стол няўжо гэта сапраўды было ўчора', 'norm_hyp': 'я паклаў паперку на стол няўжо гэта сапраўды было ў чорта'}, 'gemini-2.5-flash-lite': {'hyp_text': 'Я паклаў паперку на стол. Няўжо гэта сапраўды было ўчора?', 'score': 100.0, 'norm_ref': 'я паклаў паперку на стол няўжо гэта сапраўды было ўчора', 'norm_hyp': 'я паклаў паперку на стол няўжо гэта сапраўды было ўчора'}}"
23,1041f982d5f9c03.mp3,100.0,"Як далёка ўсё адышло, амаль забылася ў шэрым тумане алкаголю.","Як далёка ўсё адышло, амаль забылася ў шэрым тумане алкаголю.","[ 0.          0.          0.         ... -0.0009781  -0.0008867
 -0.00061601]",44100,processed,correct,imported_csv,як далёка ўсё адышло амаль забылася ў шэрым тумане алкаголю,як далёка ўсё адышло амаль забылася ў шэрым тумане алкаголю,"{'imported_csv': {'hyp_text': 'Як далёка ўсё адышло, амаль забылася ў шэрым тумане алкаголю.', 'score': 100.0, 'norm_ref': 'як далёка ўсё адышло амаль забылася ў шэрым тумане алкаголю', 'norm_hyp': 'як далёка ўсё адышло амаль забылася ў шэрым тумане алкаголю'}}"
24,8e508c918c7d0ee.mp3,100.0,За выпіўкай жыццё было цудоўнае.,За выпіўкай. Жыццё было цудоўнае.,"[7.1867291e-08 6.4102828e-08 5.0506429e-08 ... 5.0873042e-04 6.0098147e-04
 5.0463621e-04]",44100,processed,correct,imported_csv,за выпіўкай жыццё было цудоўнае,за выпіўкай жыццё было цудоўнае,"{'imported_csv': {'hyp_text': 'За выпіўкай. Жыццё было цудоўнае.', 'score': 100.0, 'norm_ref': 'за выпіўкай жыццё было цудоўнае', 'norm_hyp': 'за выпіўкай жыццё было цудоўнае'}}"
25,1bcf801e05106cb.mp3,100.0,"Ой, ты хутка рабіўся цэльным."," Ой, ты хутка рабіўся цэльным.",[0.         0.         0.         ... 0.0003859  0.00032375 0.00024306],44100,processed,correct,imported_csv,ой ты хутка рабіўся цэльным,ой ты хутка рабіўся цэльным,"{'imported_csv': {'hyp_text': ' Ой, ты хутка рабіўся цэльным.', 'score': 100.0, 'norm_ref': 'ой ты хутка рабіўся цэльным', 'norm_hyp': 'ой ты хутка рабіўся цэльным'}}"
26,5cddfdb1885616c.mp3,100.0,"А магчыма, і не. Днём усё выглядала інакш, чым вечарам.","А магчыма і не. Днём усё выглядала інакш, чым вечарам.","[ 0.          0.          0.         ... -0.00777076 -0.00809928
 -0.00572843]",44100,processed,correct,imported_csv,а магчыма і не днём усё выглядала інакш чым вечарам,а магчыма і не днём усё выглядала інакш чым вечарам,"{'imported_csv': {'hyp_text': 'А магчыма і не. Днём усё выглядала інакш, чым вечарам.', 'score': 100.0, 'norm_ref': 'а магчыма і не днём усё выглядала інакш чым вечарам', 'norm_hyp': 'а магчыма і не днём усё выглядала інакш чым вечарам'}}"
27,e35509709cdb372.mp3,100.0,"Але паміж вечарам і раніцай зноў утвараліся прагалы, як быццам міналі гады.","Але паміж вечарам і раніцай зноў утвараліся прагалы, як быццам міналі гады.","[ 0.          0.          0.         ... -0.0011232  -0.00127869
 -0.00104694]",44100,processed,correct,imported_csv,але паміж вечарам і раніцай зноў утвараліся прагалы як быццам міналі гады,але паміж вечарам і раніцай зноў утвараліся прагалы як быццам міналі гады,"{'imported_csv': {'hyp_text': 'Але паміж вечарам і раніцай зноў утвараліся прагалы, як быццам міналі гады.', 'score': 100.0, 'norm_ref': 'але паміж вечарам і раніцай зноў утвараліся прагалы як быццам міналі гады', 'norm_hyp': 'але паміж вечарам і раніцай зноў утвараліся прагалы як быццам міналі гады'}}"
28,0cb8cca8aecf462.mp3,100.0,Я сунуў запіску пад стос кніжак. Пазваніць? Магчыма.,"Я сунуў запіску пад стос кніжак.
Пазваніць?
Магчыма.","[ 0.0000000e+00  0.0000000e+00  0.0000000e+00 ...  8.2469429e-05
 -3.5081897e-04 -1.4819246e-04]",44100,processed,correct,gemini-2.5-flash-lite,я сунуў запіску пад стос кніжак пазваніць магчыма,я сунуў запіску пад стос кніжак пазваніць магчыма,"{'imported_csv': {'hyp_text': 'Я сунуў запіску пад стос кніжак.  Пазваніць?  Гм, гм, магчыма.', 'score': 94.23076923076923, 'norm_ref': 'я сунуў запіску пад стос кніжак пазваніць магчыма', 'norm_hyp': 'я сунуў запіску пад стос кніжак пазваніць гм гм магчыма'}, 'gemini-2.5-flash-lite': {'hyp_text': 'Я сунуў запіску пад стос кніжак.\nПазваніць?\nМагчыма.', 'score': 100.0, 'norm_ref': 'я сунуў запіску пад стос кніжак пазваніць магчыма', 'norm_hyp': 'я сунуў запіску пад стос кніжак пазваніць магчыма'}}"
